graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_closeness;avg_closeness;max_eigenvector;avg_eigenvector
rand_random_rap_100_9382_3_0.9999_17365423075810912_0;9382;28137;1;0.5883480307901591;0.07367030062768418;0.0768;0.3365743398392652;0.19943028627584314;0.6213647074658929;0.0034225676862120295
rand_random_rap_100_9382_3_0.9999_17365423080415268_1;9382;28137;1;0.5885953381685799;0.07388881219467663;0.0765;0.3647214338478286;0.20301049350413672;0.6751996049585911;0.0029982325727451425
rand_random_rap_100_9382_3_0.9999_17365423085050359_2;9382;28137;1;0.5885368693256899;0.08931395995400487;0.0892;0.32846638655462185;0.1910494736291572;0.6526288949044405;0.002521826888474538
rand_random_rap_100_9382_3_0.9999_17365423089685726_3;9382;28137;1;0.5895749982070965;0.07934907799618315;0.0795;0.3601842964100595;0.2012579796654135;0.6702916690140084;0.00294707505160548
rand_random_rap_100_9382_3_0.9999_17365423094052653_4;9382;28137;1;0.5901383266987151;0.09435830507993702;0.0996;0.325266114212406;0.19352660899792867;0.6531015820018664;0.0028432111190689934
rand_random_rap_100_9382_3_0.9999_17365423097851748_5;9382;28137;1;0.5879231811667712;0.09750480862552718;0.0976;0.31181651986039555;0.18723468466471224;0.6417190534395637;0.002918088330342346
rand_random_rap_100_9382_3_0.9999_17365423101526377_6;9382;28137;1;0.5905798351821457;0.0829232258901744;0.0847;0.34886574934920045;0.20145625780516344;0.6366650449784983;0.0031471808797098066
rand_random_rap_100_9382_3_0.9999_1736542310658094_7;9382;28136;1;0.589608310541203;0.08383170030564824;0.0854;0.32119012565480876;0.19064413847294048;0.6546889026297057;0.002982237956232117
rand_random_rap_100_9382_3_0.9999_17365423110675213_8;9382;28136;1;0.5894216088537237;0.06667203867848509;0.0699;0.3605303612605688;0.20361343361989515;0.6744333489217291;0.003040957953717383
rand_random_rap_100_9382_3_0.9999_17365423115600154_9;9382;28137;1;0.5888047960770104;0.07990230580985852;0.0774;0.3643389777846823;0.20352747213225986;0.6465721390720521;0.0032176045208677016
rand_random_rap_100_9382_3_0.9999_17365423119894376_10;9382;28137;1;0.5900437970176744;0.07576311804100275;0.0774;0.32505197505197503;0.19555678567859627;0.6725636991782673;0.002900702959834561
rand_random_rap_100_9382_3_0.9999_17365423124340324_11;9382;28137;1;0.5910148548541468;0.05912869180614035;0.0568;0.40228997812942235;0.21793969951705802;0.6786084221854174;0.0032448773407372893
rand_random_rap_100_9382_3_0.9999_17365423130973246_12;9382;28137;1;0.5894045339025735;0.07593846407258577;0.0751;0.350770266227939;0.20476908354731424;0.6633955357901536;0.002993236069791263
rand_random_rap_100_9382_3_0.9999_17365423135535557_13;9382;28136;1;0.5893574731400311;0.06880198559486708;0.0695;0.38030567154497913;0.21200981188602694;0.6689690966200396;0.0031409290304846207
rand_random_rap_100_9382_3_0.9999_173654231403285_14;9382;28137;1;0.5875828656056609;0.09800021264907587;0.098;0.31848582583602103;0.18370491634978167;0.6666220535362735;0.002675776784741166
rand_random_rap_100_9382_3_0.9999_1736542314400537_15;9382;28136;1;0.5909061289193104;0.0889295399476885;0.0851;0.34958077138065957;0.19676435024694253;0.6320173942751974;0.003029123964321345
rand_random_rap_100_9382_3_0.9999_17365423147923932_16;9382;28137;1;0.5892189464987196;0.07906936720842431;0.0744;0.36026729137063634;0.2040959550116373;0.6475497382710277;0.003233040300982262
rand_random_rap_100_9382_3_0.9999_17365423152257166_17;9382;28137;1;0.5880301922997465;0.09392163808076885;0.0943;0.3158160517102074;0.18447644783165362;0.5239566875510393;0.003265612483576177
rand_random_rap_100_9382_3_0.9999_17365423157769654_18;9382;28137;1;0.5853689318027193;0.06256211912104638;0.0592;0.3662736217398095;0.20601766086800874;0.6774044103234138;0.003104905480927251
rand_random_rap_100_9382_3_0.9999_17365423162905962_19;9382;28137;1;0.5872420668934764;0.07637409865537255;0.0735;0.32791526845637586;0.19302854189841942;0.4832167035349744;0.00338320958665528
rand_random_rap_100_9382_3_0.9999_1736542316735606_20;9382;28137;1;0.5913866372502433;0.0841825196221897;0.0864;0.3394976838448176;0.19614291974847775;0.6554737572623107;0.0029258316151615812
rand_random_rap_100_9382_3_0.9999_1736542317148185_21;9382;28137;1;0.589115441979481;0.07598743659666049;0.0746;0.34594534793671866;0.19977309404291285;0.6617406021620398;0.003010842373351724
rand_random_rap_100_9382_3_0.9999_17365423175969517_22;9382;28137;1;0.5890174119880357;0.05991201296118155;0.0603;0.37101048052204866;0.21142296012392028;0.6731232350734043;0.0031558872588876236
rand_random_rap_100_9382_3_0.9999_1736542318148668_23;9382;28137;1;0.5884205861373797;0.05893609766808346;0.0614;0.3938617852044672;0.22046244189490993;0.67027860444216;0.0032836140961949234
rand_random_rap_100_9382_3_0.9999_17365423186893961_24;9382;28137;1;0.5895047915272549;0.06632484402760813;0.068;0.3584091082753878;0.1994283441400383;0.6773392447477158;0.003075671519528843
rand_random_rap_100_9382_3_0.9999_173654231939953_25;9382;28137;1;0.5902759275852664;0.09447138313085358;0.0912;0.3352512329354585;0.1933500950962118;0.6492009479794478;0.0028713692483588646
rand_random_rap_100_9382_3_0.9999_1736542319780676_26;9382;28137;1;0.5897284944371038;0.07409900666806074;0.0781;0.3294237454788075;0.19376318441134305;0.6742721345793257;0.002803356686901917
rand_random_rap_100_9382_3_0.9999_1736542320240532_27;9382;28136;1;0.585072180376216;0.08051604681480613;0.0755;0.34367672919109027;0.19993742676925425;0.6690042349046212;0.002863948133955949
rand_random_rap_100_9382_3_0.9999_1736542320673704_28;9382;28137;1;0.5908689138764383;0.07531480512226053;0.0744;0.34511809285556616;0.19823982846725113;0.6670812841809964;0.0030262974305853363
rand_random_rap_100_9382_3_0.9999_17365423211143606_29;9382;28136;1;0.5869976305441778;0.10752691660151752;0.1023;0.3163485533148985;0.1804295055896647;0.6376785701253566;0.002623766078507737
rand_random_rap_100_9382_3_0.9999_17365423214580355_30;9382;28137;1;0.5918287185493883;0.07918765799203488;0.0741;0.3294584533258411;0.1923598692900693;0.6717281448237986;0.0028060779443622274
rand_random_rap_100_9382_3_0.9999_17365423218894157_31;9382;28137;1;0.5861483105416228;0.08410710870258209;0.0817;0.3479857556198531;0.20008761188377258;0.6519354920716285;0.0030205567930726655
rand_random_rap_100_9382_3_0.9999_17365423222974153_32;9382;28137;1;0.5877601468783147;0.06744247878106145;0.0709;0.36354828708727327;0.20404265010603925;0.6742723390851657;0.0030661927937638525
rand_random_rap_100_9382_3_0.9999_1736542322791782_33;9382;28137;1;0.5889602775993801;0.08446788576271792;0.0885;0.330270384452894;0.18996039871724985;0.6224872825263885;0.0030305991486523636
rand_random_rap_100_9382_3_0.9999_1736542323199561_34;9382;28136;1;0.5888578662115895;0.06329646083378263;0.0578;0.39009481037924154;0.2119024843462955;0.6763365869616661;0.003157333708657683
rand_random_rap_100_9382_3_0.9999_17365423240046816_35;9382;28137;1;0.5867459353756206;0.07959034047199692;0.0809;0.34492774938412324;0.2029864719949799;0.5896157737975946;0.003383190389097549
rand_random_rap_100_9382_3_0.9999_1736542324436178_36;9382;28137;1;0.590991912433492;0.08183591845901911;0.0751;0.32232682792743267;0.18992386994883054;0.6351983525574426;0.0030983171370522707
rand_random_rap_100_9382_3_0.9999_17365423248501759_37;9382;28136;1;0.5888308226747239;0.08655223238159834;0.0904;0.2919973853767859;0.17627753108340669;0.6401048522762012;0.0028860503166758234
rand_random_rap_100_9382_3_0.9999_1736542325260306_38;9382;28136;1;0.585221377359923;0.061259172850226785;0.0649;0.3672918053326025;0.21418315794064063;0.6585787710483482;0.0033178855171027755
rand_random_rap_100_9382_3_0.9999_17365423257977264_39;9382;28137;1;0.5899886625293248;0.08657947725451098;0.0852;0.3090939044481054;0.18769801121948457;0.6509141649828147;0.002741819115860508
rand_random_rap_100_9382_3_0.9999_17365423262005491_40;9382;28137;1;0.5912543139018369;0.08540988572570302;0.088;0.33852982570098517;0.19963631908604076;0.6425569420463888;0.003134946202798443
rand_random_rap_100_9382_3_0.9999_1736542326610034_41;9382;28136;1;0.5931141302126909;0.0786540597909689;0.08;0.3337127814734446;0.190986571706783;0.6733350497972451;0.0028954474203339957
rand_random_rap_100_9382_3_0.9999_1736542327033375_42;9382;28137;1;0.585799894684752;0.0884447707523332;0.0859;0.34744444444444444;0.19442004056000492;0.6593991575656367;0.0029137601524330467
rand_random_rap_100_9382_3_0.9999_17365423274336686_43;9382;28137;1;0.5886345821509109;0.08883122921546176;0.087;0.332388477482904;0.1940195753137468;0.618896690947578;0.0032923545895236954
rand_random_rap_100_9382_3_0.9999_17365423278243804_44;9382;28137;1;0.5863655033508711;0.06612895462039255;0.0609;0.354803328290469;0.20199114603918078;0.6743979666647333;0.003001902438781848
rand_random_rap_100_9382_3_0.9999_17365423283290179_45;9382;28137;1;0.5909488251019266;0.08723322975618017;0.0811;0.33762821666366744;0.19499206723380128;0.6657097682765555;0.002764905797268718
rand_random_rap_100_9382_3_0.9999_17365423291337464_46;9382;28137;1;0.5880119744667556;0.07189127618318884;0.0674;0.34771488935838984;0.20427193887057013;0.5116803074409193;0.0035892260215370686
rand_random_rap_100_9382_3_0.9999_17365423296098037_47;9382;28137;1;0.593747329835888;0.09972914069436846;0.1058;0.34392872855257367;0.1985601907215748;0.5598421348205229;0.0036357833118663514
rand_random_rap_100_9382_3_0.9999_1736542329969449_48;9382;28137;1;0.5875187086117368;0.09420303224259076;0.0957;0.3170006420437266;0.1849910587333158;0.6634730578142285;0.002753602753291605
rand_random_rap_100_9382_3_0.9999_17365423303506644_49;9382;28137;1;0.5895730970614528;0.10620859296554838;0.1129;0.31640190225639986;0.18248105522026392;0.6124472664721559;0.0030079853251439065
rand_random_rap_100_9382_3_0.9999_1736542330698793_50;9382;28136;1;0.5875740391025894;0.07335280106042637;0.0703;0.35245716862037874;0.20080448561851622;0.6735221376526067;0.0028448530687849656
rand_random_rap_100_9382_3_0.9999_17365423311544192_51;9382;28137;1;0.5906658996632559;0.08312128177478054;0.084;0.31681864235055723;0.18919789920743682;0.6433805578219818;0.002955943053708764
rand_random_rap_100_9382_3_0.9999_1736542331571347_52;9382;28137;1;0.5864000887769762;0.08884484392067611;0.0858;0.3422223843572158;0.1954893409867352;0.618151315505225;0.0031393075377576865
rand_random_rap_100_9382_3_0.9999_1736542331970803_53;9382;28136;1;0.5865545084058303;0.06168645051242258;0.0641;0.39771908254546995;0.217899608685583;0.670845155058148;0.003248695477005083
rand_random_rap_100_9382_3_0.9999_1736542332491341_54;9382;28137;1;0.5906806411046095;0.08086861739803801;0.0795;0.3137248344592335;0.19087547588101147;0.5363832769001643;0.0033676697650024357
rand_random_rap_100_9382_3_0.9999_17365423329142447_55;9382;28137;1;0.5896373808930564;0.0957045935597154;0.0946;0.31909248613898433;0.18559468898010467;0.6506951490402985;0.002744193896838717
rand_random_rap_100_9382_3_0.9999_17365423332934303_56;9382;28136;1;0.5867048175537548;0.0661134592656397;0.0636;0.3611271509412172;0.20590624345195227;0.6660207836056226;0.0031596957986213103
rand_random_rap_100_9382_3_0.9999_17365423337764819_57;9382;28136;1;0.5874327321858636;0.06662806217206776;0.0614;0.3336771715159707;0.2006866177433523;0.6341478656373526;0.003243790673038613
rand_random_rap_100_9382_3_0.9999_17365423342698348_58;9382;28136;1;0.5877263119062593;0.09777779750307344;0.0982;0.31775226094909054;0.18620452805086818;0.6566345877332914;0.0026495750452363216
rand_random_rap_100_9382_3_0.9999_17365423346429727_59;9382;28136;1;0.5893710329199465;0.07132121389478531;0.069;0.34319894636716175;0.19960649460876814;0.49905148654367154;0.003706675775217579
rand_random_rap_100_9382_3_0.9999_1736542335107163_60;9382;28136;1;0.5885952008519126;0.09236408981720912;0.0944;0.34027349559287606;0.19549242642527018;0.6672863201783614;0.0028017315850888194
rand_random_rap_100_9382_3_0.9999_17365423359599526_61;9382;28137;1;0.5837474786431481;0.08094718941573416;0.0808;0.35151946640686477;0.1997023994853068;0.6606124501338607;0.0030133759978614584
rand_random_rap_100_9382_3_0.9999_17365423363882926_62;9382;28137;1;0.5875884466194108;0.07866575036058708;0.076;0.3509539842873176;0.19900611915501162;0.645689799784593;0.003102417561823264
rand_random_rap_100_9382_3_0.9999_17365423368246334_63;9382;28137;1;0.5906352195260041;0.10460317560250824;0.1042;0.3173974827446204;0.1873466881697754;0.60799827611437;0.0031688759137793515
rand_random_rap_100_9382_3_0.9999_17365423371720383_64;9382;28137;1;0.5906555636736107;0.05358526818871702;0.0511;0.4052968115441113;0.223701365292954;0.6754579822415654;0.003345352716425033
rand_random_rap_100_9382_3_0.9999_1736542337744775_65;9382;28137;1;0.5866306543805968;0.07769457263384388;0.0766;0.3741922616673315;0.2098042970695325;0.6278646234497218;0.0034625376275536426
rand_random_rap_100_9382_3_0.9999_17365423381937535_66;9382;28137;1;0.5894936505919464;0.062322796496548157;0.061;0.4046150528358853;0.2187593265440038;0.6751320777516692;0.003222654300534462
rand_random_rap_100_9382_3_0.9999_17365423387155735_67;9382;28137;1;0.589532410099687;0.0757943690901035;0.0777;0.3593289156165013;0.20212600862384317;0.600555245373073;0.0034354291385539073
rand_random_rap_100_9382_3_0.9999_17365423391665988_68;9382;28137;1;0.5859322444784617;0.08229106703647496;0.0797;0.3347607322556471;0.19316024933403472;0.6721125013678421;0.0026937122775827676
rand_random_rap_100_9382_3_0.9999_17365423395777967_69;9382;28137;1;0.587761432398533;0.07143327315635618;0.0712;0.33821249594404584;0.19986849769833653;0.5488992312061937;0.003515539260002494
