graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_closeness;avg_closeness;max_eigenvector;avg_eigenvector
rand_random_trap_100_4027_3_0.9999_1736542307506339_0;4027;12072;1;0.589389286131132;0.08477565672851659;0.0828;0.40195686900958466;0.22608672626733695;0.6621631555288078;0.005752540588931352
rand_random_trap_100_4027_3_0.9999_17365423076811154_1;4027;12072;1;0.5907152473524759;0.09544884339404887;0.0951;0.36649977241693216;0.21769017768257895;0.5373601639968394;0.006462070682942864
rand_random_trap_100_4027_3_0.9999_17365423078442976_2;4027;12072;1;0.5946519831970699;0.1072736826586121;0.1064;0.3591756624141315;0.21418672262017796;0.6219756537291001;0.005768964968673462
rand_random_trap_100_4027_3_0.9999_17365423079916952_3;4027;12072;1;0.5895132025158045;0.11067877215737137;0.1052;0.3293520942408377;0.19942095184273642;0.6377992338742264;0.005251132404165192
rand_random_trap_100_4027_3_0.9999_17365423081378434_4;4027;12071;1;0.5919637822310104;0.11645178346280555;0.1202;0.3436033114278399;0.19981092467511685;0.6197155887608462;0.005468853277352211
rand_random_trap_100_4027_3_0.9999_17365423082770302_5;4027;12072;1;0.5861574616190921;0.0933899472870466;0.0954;0.38533690658499237;0.22015611494464812;0.515866595697966;0.006651288889934266
rand_random_trap_100_4027_3_0.9999_17365423084418583_6;4027;12072;1;0.5870132447644555;0.07570721718013734;0.0772;0.403892455858748;0.23361057948039804;0.6320004767391975;0.006352338154435826
rand_random_trap_100_4027_3_0.9999_17365423086865878_7;4027;12071;1;0.5867855343326361;0.1054615333249245;0.1084;0.35952848722986247;0.20684837115751617;0.6439219882223396;0.005048085522901548
rand_random_trap_100_4027_3_0.9999_1736542308837938_8;4027;12071;1;0.5929225206416407;0.10680792330361473;0.1026;0.37739032620922386;0.2142921745414661;0.6488779759547072;0.0053225168029013056
rand_random_trap_100_4027_3_0.9999_17365423089850018_9;4027;12071;1;0.5931601939400282;0.11368355852725952;0.1145;0.36500453309156844;0.2072676804540834;0.46891848643778955;0.006930522557816091
rand_random_trap_100_4027_3_0.9999_173654230913153_10;4027;12072;1;0.5917937851966834;0.10394179346701375;0.0994;0.38438037044109225;0.21789072272819798;0.5261315341410749;0.0068900440653701794
rand_random_trap_100_4027_3_0.9999_1736542309280401_11;4027;12072;1;0.5850293781898565;0.09906266005290078;0.0944;0.3835746951219512;0.22364990368291238;0.562943601337262;0.006647104146913695
