graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_eigenvector;avg_eigenvector
rand_random_pop_100_18147_3_0.11_17366012603341825_0;18147;54429;1;0.05928676455019977;0.013715309477141654;0.0118;0.5049518437399367;0.00272819825404403
rand_random_pop_100_18147_3_0.11_17366012605981894_1;18147;54431;1;0.06083835869467495;0.012556298621536783;0.0106;0.4302537220547486;0.0027088281338932163
rand_random_pop_100_18147_3_0.11_17366012609224129_2;18147;54430;1;0.05873736823160243;0.01204659572324643;0.0108;0.5326905683471337;0.0024622124267722314
rand_random_pop_100_18147_3_0.11_17366012611849403_3;18147;54432;1;0.05966611354832573;0.013139011591939784;0.0148;0.5811301767307949;0.0024300625824305437
rand_random_pop_100_18147_3_0.11_1736601261538077_4;18147;54431;1;0.0596688145184092;0.012081541839884642;0.0114;0.5141576844433587;0.002664242001602227
rand_random_pop_100_18147_3_0.11_1736601261802633_5;18147;54429;1;0.058704274801299305;0.013601871720905257;0.0133;0.41597753624826267;0.0028897815321499345
rand_random_pop_100_18147_3_0.11_17366012621869404_6;18147;54430;1;0.05762703161917703;0.01339413481902654;0.0148;0.5686169303662506;0.0024168962190581835
rand_random_pop_100_18147_3_0.11_17366012624486616_7;18147;54431;1;0.05868157851299359;0.013131009000529098;0.0142;0.3821253705379978;0.0029245930127737387
rand_random_pop_100_18147_3_0.11_17366012627083058_8;18147;54432;1;0.05990618434444171;0.013082080224955045;0.0148;0.5389000747089353;0.002523275233595237
rand_random_pop_100_18147_3_0.11_1736601263137551_9;18147;54432;1;0.05954325996743168;0.012916857751380734;0.0121;0.5276186280140462;0.0026141848292204934
rand_random_pop_100_18147_3_0.11_17366012634014215_10;18147;54432;1;0.06105238835582494;0.012729446902776782;0.0115;0.5811812522416897;0.0024200685897897427
rand_random_pop_100_18147_3_0.11_17366012636663032_11;18147;54430;1;0.057551599704142795;0.012154773702583664;0.0138;0.4422549937552137;0.0027061607747205308
rand_random_pop_100_18147_3_0.11_17366012639273927_12;18147;54430;1;0.05871365381588456;0.012319325068537657;0.0113;0.4895985287618283;0.0026619221028313686
rand_random_pop_100_18147_3_0.11_1736601264413249_13;18147;54428;1;0.058896630882198785;0.013609316868039314;0.0122;0.5214215553271869;0.0025969331604272093
rand_random_pop_100_18147_3_0.11_17366012646736035_14;18147;54429;1;0.05864891117080073;0.012236864624336813;0.0114;0.6320080646360854;0.0022183204700604053
rand_random_pop_100_18147_3_0.11_17366012649378188_15;18147;54432;1;0.05994033372605045;0.011979424062845134;0.0131;0.6370865905551203;0.0021729523356845215
rand_random_pop_100_18147_3_0.11_17366012652063248_16;18147;54430;1;0.05798686313633694;0.01148499462163595;0.0105;0.6372068420349156;0.002185510197005873
rand_random_pop_100_18147_3_0.11_17366012654696684_17;18147;54432;1;0.05872762711519938;0.012782066763192684;0.0133;0.6481098916772837;0.0020874379589117305
rand_random_pop_100_18147_3_0.11_17366012660166106_18;18147;54431;1;0.05989398597612917;0.011872179894962646;0.0113;0.6186828521362372;0.002262869649798306
rand_random_pop_100_18147_3_0.11_1736601266283389_19;18147;54432;1;0.06020050470314069;0.013088788186353695;0.0121;0.4578310757151503;0.0028231615551283147
rand_random_pop_100_18147_3_0.11_17366012665455992_20;18147;54431;1;0.05923838580967383;0.013190830027390951;0.01;0.5418005180883463;0.0024584237021157787
rand_random_pop_100_18147_3_0.11_17366012668071446_21;18147;54431;1;0.05909693827168004;0.013319619540969626;0.0145;0.598675458976389;0.0023449718993692956
rand_random_pop_100_18147_3_0.11_1736601267075803_22;18147;54432;1;0.0594161274667932;0.011957164955410443;0.0108;0.6251931335660756;0.002242143567833322
rand_random_pop_100_18147_3_0.11_17366012673512645_23;18147;54430;1;0.05783101057908618;0.013420209560892573;0.0157;0.5722285357212993;0.002443913615641725
rand_random_pop_100_18147_3_0.11_17366012679904873_24;18147;54429;1;0.06048670792948595;0.011914631727252845;0.0114;0.6150618107546434;0.0023555582678115245
rand_random_pop_100_18147_3_0.11_1736601268260074_25;18147;54430;1;0.0575496877561887;0.012444145664940098;0.0115;0.6149467300897461;0.0023050444542384915
rand_random_pop_100_18147_3_0.11_17366012685260916_26;18147;54430;1;0.06012658806699524;0.011746298026143583;0.0124;0.5992212970794295;0.002393757524456518
rand_random_pop_100_18147_3_0.11_17366012688030884_27;18147;54431;1;0.060481551489206815;0.012983075768714804;0.0134;0.3403969983473929;0.003018022816943085
rand_random_pop_100_18147_3_0.11_17366012690675607_28;18147;54430;1;0.0606475726195873;0.011583988005162625;0.0119;0.40983122499039143;0.00260267122125545
rand_random_pop_100_18147_3_0.11_17366012693415074_29;18147;54427;1;0.06078286398703602;0.013181180721098648;0.0143;0.3338212243183162;0.002975951931181049
rand_random_pop_100_18147_3_0.11_17366012696170816_30;18147;54424;1;0.060563477587460536;0.011098944815375393;0.0128;0.6447408617597586;0.0021544088064668343
rand_random_pop_100_18147_3_0.11_17366012698928006_31;18147;54432;1;0.05872901640668952;0.012141518221953251;0.0125;0.5196556933467403;0.002657964008001429
rand_random_pop_100_18147_3_0.11_17366012706517258_32;18147;54430;1;0.06098168301492043;0.013012829576490024;0.013;0.4561964198123437;0.002765597837166739
rand_random_pop_100_18147_3_0.11_17366012709236903_33;18147;54430;1;0.06017501438969415;0.012910938097174317;0.0106;0.6234194454404874;0.0022073786939699317
rand_random_pop_100_18147_3_0.11_17366012711944954_34;18147;54429;1;0.06135771506824026;0.013026095423197728;0.0134;0.5303647048237272;0.0026470907308100344
rand_random_pop_100_18147_3_0.11_17366012714604168_35;18147;54429;1;0.06176480247013948;0.013248961650057123;0.0138;0.5249078770981335;0.0024000622712259576
rand_random_pop_100_18147_3_0.11_17366012717260697_36;18147;54429;1;0.060008329220134285;0.012437162130625894;0.0124;0.46577830247121316;0.0026233349136795796
rand_random_pop_100_18147_3_0.11_17366012719944887_37;18147;54427;1;0.06200812895884726;0.012345044919562644;0.0158;0.5298512155538726;0.0026748332378944725
