graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_closeness;avg_closeness;max_eigenvector;avg_eigenvector
rand_random_house_100_3249_3_0.6_17365422774077914_0;3249;9737;1;0.33372816159921553;0.06427129235258573;0.0608;0.4174807197943445;0.25591751919798544;0.5362083273198692;0.00811429319636675
rand_random_house_100_3249_3_0.6_1736542277491192_1;3249;9737;1;0.33502538388485104;0.07231885816392937;0.072;0.39484561147580843;0.25208883909282853;0.4857282142940281;0.008614205242659307
rand_random_house_100_3249_3_0.6_17365422775682018_2;3249;9734;1;0.33413451376577974;0.06922546762051814;0.0729;0.4132841328413284;0.2531593959697999;0.6057393381420574;0.007584753252084996
rand_random_house_100_3249_3_0.6_17365422776472876_3;3249;9735;1;0.33132748589039884;0.06466175164859284;0.0636;0.40963551519737673;0.2560484658556621;0.6037046303252845;0.0076588991231563725
rand_random_house_100_3249_3_0.6_17365422777300599_4;3249;9737;1;0.33614116847476716;0.07463217845277646;0.0752;0.4080914687774846;0.2518359715601697;0.4936551020532707;0.008468942644461332
rand_random_house_100_3249_3_0.6_1736542277805983_5;3249;9738;1;0.3277298389366667;0.07522968197879859;0.0743;0.3675039601719846;0.24929453462613704;0.5631877593741236;0.008193803201114232
rand_random_house_100_3249_3_0.6_17365422778818038_6;3249;9733;1;0.3268366329871516;0.0626380569419071;0.0655;0.4015329459760168;0.25665594179936324;0.593425812290294;0.007941121088682907
rand_random_house_100_3249_3_0.6_17365422779665918_7;3249;9735;1;0.3359268686628489;0.0791931356314918;0.0753;0.4063555611159765;0.2479269552781314;0.6112917963637532;0.007293013844489626
rand_random_house_100_3249_3_0.6_17365422780413158_8;3249;9733;1;0.33873579851956037;0.07217338521738188;0.0773;0.3953261927945472;0.25236944257843796;0.41065070404274573;0.008654210299457572
rand_random_house_100_3249_3_0.6_17365422781738894_9;3249;9735;1;0.33974415578056333;0.062443168902023186;0.059;0.43306666666666666;0.2582397739197549;0.6128769269785275;0.0076358370009889385
rand_random_house_100_3249_3_0.6_1736542278257603_10;3249;9737;1;0.3355833216443439;0.07388594119443848;0.0735;0.38565661363096654;0.2509807172614072;0.3610052457561779;0.009424158703010308
rand_random_house_100_3249_3_0.6_17365422783339279_11;3249;9735;1;0.3280774438008959;0.06753180903487506;0.0685;0.42357850808555036;0.2532761533623681;0.6330640478959435;0.007165532209112606
rand_random_house_100_3249_3_0.6_1736542278411858_12;3249;9736;1;0.3309713709120689;0.06084465723853541;0.0604;0.43661782497647533;0.2595655049824979;0.620609881938805;0.007602189713348463
rand_random_house_100_3249_3_0.6_1736542278495478_13;3249;9736;1;0.33206791288689097;0.06908569085690856;0.0709;0.39141961918534585;0.25386830226642;0.5126304422530173;0.008682820754870691
rand_random_house_100_3249_3_0.6_17365422785753481_14;3249;9737;1;0.33431812936421856;0.06278588072840252;0.0635;0.42923219241443106;0.25806644273803614;0.5973001928648822;0.007844610795342507
